,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9950738916256158,1.0,0.9950248756218907,0.9931972789115646,0.9855072463768116,0.9411764705882353,0.8333333333333333,0.776470588235294,0.5531914893617021,0.25,0.175,0.045454545454545456,0.0,0.0,0.0,0.0,0.029411764705882353
12,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,0.9931972789115646,0.9927536231884059,0.9663865546218487,0.8999999999999999,0.8588235294117647,0.6808510638297872,0.5416666666666667,0.275,0.2272727272727273,0.0,0.0,0.0,0.0,0.029411764705882353
13,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,0.9931972789115646,1.0,0.9831932773109244,0.9222222222222222,0.9176470588235294,0.8085106382978723,0.7500000000000001,0.55,0.31818181818181823,0.2608695652173913,0.16666666666666666,0.0,0.16666666666666666,0.029411764705882353
14,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,0.9915966386554622,0.9666666666666666,0.988235294117647,0.9148936170212766,0.8750000000000001,0.8,0.5,0.2608695652173913,0.25,0.1,0.16666666666666666,0.058823529411764705
15,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9888888888888888,0.988235294117647,0.9574468085106382,0.9166666666666667,0.875,0.6363636363636364,0.4782608695652174,0.5,0.2,0.16666666666666666,0.058823529411764705
16,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9787234042553191,0.9375000000000001,0.95,0.7727272727272727,0.6521739130434783,0.6666666666666666,0.4,0.6666666666666666,0.11764705882352941
17,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9787234042553191,0.9791666666666667,0.975,0.9090909090909091,0.8260869565217391,0.75,0.5,0.6666666666666666,0.11764705882352941
18,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.9545454545454545,0.8260869565217391,0.9166666666666666,0.6,0.8333333333333333,0.1764705882352941
19,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9583333333333333,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.8260869565217391,0.9166666666666666,0.8,0.9999999999999999,0.23529411764705882
20,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,1.0
